n,canal,url,estado,motivo,frames,muestreo_s,negro_%,congelado_s,check_s,ffmpeg_rc,timed_out
1,5TV Corrientes (480p) [Not 24/7],http://www.coninfo.net:1935/tvcinco/live1/playlist.m3u8,fail,opciones FFmpeg incompatibles: Opening 'http://www.coninfo.net:1935/tvcinco/live1/media_w1497731704_4049.ts' for reading,0,0.0,0.0,0.0,13.4,2880417800,False
2,24/7 Canal de Noticias,https://panel.host-live.com:19360/cn247tv/cn247tv.m3u8,ok,,375,15.0,0.0,0.0,26.8,0,False
3,A24 (720p),https://g5.vxral-slo.transport.edge-access.net/a12/ngrp:a24-100056_all/playlist.m3u8?sense=true,ok,,375,15.0,0.0,0.0,2.9,0,False
4,Aire de Santa Fe (1080p),https://unlimited1-us.dps.live/airedesantafetv/airedesantafetv.smil/playlist.m3u8,ok,,450,15.0,0.0,0.0,7.5,0,False
5,Alterna TV (720p) [Not 24/7],https://tv.alterna.ar/stream/hls/live.m3u8,ok,,360,15.0,0.0,0.0,6.1,0,False
6,America TV (720p),https://prepublish.f.qaotic.net/a07/americahls-100056/playlist_720p.m3u8,ok,,375,15.0,0.0,0.0,2.8,0,False
7,Argentinísima Satelital (540p),https://stream1.sersat.com/hls/argentinisima.m3u8,ok,,375,15.0,0.0,0.0,1.7,0,False
8,Atcco Canal 2,https://ola1.com.ar/atccohd/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,2.3,3419392776,False
9,ATV Argentina,https://tv.streaming.com.bo/atvargentina/index.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,7.5,3419392776,False
10,Azahares Radio Multimedia (720p),https://streamyes.alsolnet.com/azaharesfm/live/playlist.m3u8,ok,,450,15.0,0.0,0.0,10.6,0,False
11,Bayres TV (720p),https://streaming01.mikrolive.tv/bayrestv/live/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,3.9,3419392776,False
12,Beats Radio (480p),https://videostream.shockmedia.com.ar:19360/beatsradio/beatsradio.m3u8,ok,,375,15.0,0.0,0.0,7.9,0,False
13,Bravo TV (1080p),https://redirector.rudo.video/hls-video/c54ac2799874375c81c1672abb700870537c5223/bravo/bravo.smil/playlist.m3u8?did=b2201035844768f58630b7eef,ok,,450,15.0,0.0,0.0,9.3,0,False
14,Cable Imagen Armstrong (540p) [Not 24/7],https://stream.arcast.com.ar/casse/casse/playlist.m3u8,ok,,750,15.0,0.0,0.0,8.9,0,False
